"","ReviewerID","Total","Positive","Percentage"
"190","-UydPNFj3R6016GRYCBAVQ",1,1,100
"191","-V4Y5TBbl3X2hv_6wXrtcA",1,1,100
"192","-VExCof-cSmPN8RNnonjrA",1,1,100
"193","-VHzC0P2x6begFI2SIpjhQ",1,1,100
"194","-VhV9o9FXJ_upIBiHGux0w",1,1,100
"195","-VkTkgUpR8in3Z-c8F0KfQ",1,1,100
"196","-VmwLSeK0B1siwsAGMnvZQ",1,1,100
"197","-VxQmLPWcd6VZfJrrzUz7g",1,1,100
"198","-W18hboxNryoZ83Aw_utKQ",1,1,100
"199","-W5J4OJjD873vqPmmdN1jQ",2,1,50
"200","-WWMk6znkf90GR8Ol219Cg",1,1,100
"201","-WYsunYXSuaOZ6lhjGrEIA",1,1,100
"202","-Wa6ftGzq4JMrME6iX-5VQ",1,1,100
"203","-WnYkJenyzV1YkLuEF4BeA",1,1,100
"204","-X5r80c6yV74H5rBxrClFQ",1,1,100
"205","-X60rHct7k6Cay3MQup4pQ",3,3,100
"206","-X8V7aH7gN_MIoYL86XvIg",1,1,100
"207","-Xa7pqIz5bX9chH_ceG95w",2,1,50
"208","-XiU34IQOkjLJw8hGBYzGw",1,1,100
"209","-Y5vZMXZI5qPuB48yKcbMw",1,1,100
"210","-Y9x3-3H_kYzb8ydaX23iQ",1,1,100
"211","-YI48M2rvYdsdbuBaDS2YA",1,1,100
"212","-YJFK7Iuiop441VaJLYfKA",1,1,100
"213","-Ysnm-x5sW-9qNPvbkkawA",1,1,100
"214","-Yul-gh30K_fmlqwtXyYVw",1,1,100
"215","-ZBUlkawL7aF2tGwa9solQ",1,1,100
"216","-ZHHplKl_T_MibSCAOYRng",1,1,100
"217","-ZIqc-5Px31g89UOI2lNjA",1,1,100
"218","-ZMa6_QZrgLkw1ul7L_OwA",1,1,100
"219","-ZQOEzdS6RNlIZvjFc2tjw",1,1,100
"220","-ZVK8pJ5qtRwKschYbGQ8A",1,1,100
"221","-ZnT3ux6gt2ziYRgSbzOwg",1,1,100
"222","-ZoB82ARk9NqIsHh6jijCA",1,1,100
"223","-Zw2JlPCc8Zlh1f7uhD9kA",1,1,100
"224","-_L3Nc5g5sqKdVqnIHo7ig",1,1,100
"225","-a3_S2mklNiyemAH55krPQ",1,1,100
"226","-aDoPK91fsRgUxh5cZEDkg",1,1,100
"227","-ajD-AKR0Gcs0h_aISuonw",2,2,100
"228","-anWim7rh8UdzOAX-FQtCQ",1,1,100
"229","-ans5i3ABMZRrnx1sxbsNA",2,2,100
"230","-b-iGZmqZHua9tv9x5ovYA",1,1,100
"231","-b0WIJf3DYhGCFuznsXh-A",2,2,100
"232","-bPhCRlVmvPkLfAVLwYTVA",1,1,100
"233","-b_uv-4OQ7ST1Gh1md8aYQ",1,1,100
"234","-bfgTaZBQRkQq9cQnqg3Jg",3,1,33
"235","-bryYsf8Hz7Kz07MHWHsKQ",2,2,100
"236","-cF5ZSvNQ4LZBAB19svnZQ",1,1,100
"237","-cKoF-wSzd1OFC3qXl4hHQ",1,1,100
"238","-cPHuyGgC8Epx9KuV4H9dA",3,2,66
"239","-cQ8AhK8Kfdmez8g0yXplA",11,8,72
"240","-cdxm__KV6F18EIu3nT0yQ",2,2,100
"241","-cnHP9hcDAc6xj5D1rgVcw",1,1,100
"242","-cqC-x-Ht9ge64P-3W0-ug",1,1,100
"243","-cvHfgtMWll7Ao5SwLsxBQ",1,1,100
"244","-d3MrGudi_T4qtDcM5-L2Q",1,1,100
"245","-dKyTyTi5SMW810ra7qhkA",1,1,100
"246","-dPFQcrlEOZfalz7NmyREw",2,2,100
"247","-dpJ4TwT6-iNoq0UmqlA2g",5,5,100
"248","-dpuL2xxS14hXrVKo6VCpQ",1,1,100
"249","-dtd3d7Hd8mwtnwTxSE_Qw",1,1,100
"250","-e2VsA1KkPb2dRX-IC7RJg",1,1,100
"251","-eJz3Ho05kraUgPs0vwf6w",1,1,100
"252","-eQIn-rYsqG9zLTNA0xvAg",1,1,100
"253","-eoh5pIM3ZAj8PMOFb6NNg",1,1,100
"254","-eqSf8UnoIGrxjVr14iGhg",2,2,100
"255","-etekbM1PyTxLqk8VkzOZA",1,1,100
"256","-ewFhn85xLSppabn4HqEOA",1,1,100
"257","-f1ga3ZMGmvPBDkngJBFjA",1,1,100
"258","-fDHGlmFCWi_dliDCGTlkw",1,1,100
"259","-fHHnuHJEmJGUfVHe5RM_g",1,1,100
"260","-ftKR928doti1Rd--7WeYw",1,1,100
"261","-fwLyf31ZDh9bKBsFYlYMQ",1,1,100
"262","-g2DLvrbn7txsDEEaZB3Sw",1,1,100
"263","-gcaQTXglRHIaTxo0JSoPg",1,1,100
"264","-gu1zvRST-jNjhz_YybxXA",1,1,100
"265","-hIWxvjy9Yfmk9VH0nX_SQ",1,1,100
"266","-hNUG_R_GOh13QgWsPxG_w",1,1,100
"267","-hbhNegeRGqNQp6xU6HU2w",1,1,100
"268","-heFdem0rmwRDFnNRyiy1Q",2,1,50
"269","-iOebv2atFIEEA2xk-Wkaw",1,1,100
"270","-iVG5hEWffU4VSDO0i-HWg",2,2,100
"271","-j6dS6xpfaDVdO72jH7aNA",1,1,100
"272","-jEEmR5xFUf8wBZ5CMTFtw",1,1,100
"273","-jGTBMTXCGpEqSA9SzS_1A",1,1,100
"274","-jU52ECaAzfCFKLOw6VB9Q",1,1,100
"275","-jbXJ5mNE-Un4CDUqIkojQ",1,1,100
"276","-jiz1TbiSWHGI0i2y8GrJA",1,1,100
"277","-k1gApRUTf4k8KXSLSIfRA",1,1,100
"278","-kZEbzBivcOOZrzmDTFGhg",1,1,100
"279","-kcThaLYqjws30WGLNoeUQ",3,2,66
"280","-kyDLdaOeDqkQ2SNbLCqrw",1,1,100
"281","-l6R1MsMt1ksWspsn6QKdQ",2,1,50
"282","-l7dWHHcygFV0SjA95a95Q",1,1,100
"283","-lMmHjzLCG56N1Gm9YVcXQ",1,1,100
"284","-lRO4Ql1WrBpKP9wfAK3Xg",1,1,100
"285","-lTiLbcvX9S4Jo8c_uUS1g",4,4,100
"286","-lnesLCcL1oT-OfW9T88eg",2,1,50
"287","-lxUsTUVtsW__CmsmO0SAA",1,1,100
"288","-m56Ior8Z9puxrDk6R-g5w",1,1,100
"289","-mQIo5k3W9tlJN5DN3ffQA",1,1,100
"290","-mZf3SV3oFbjgb3DOL1dLg",1,1,100
"291","-miVXQiBphZDhQUIUiXmuQ",3,3,100
"292","-mpgjs2H8FXhSRUa6jGNyg",2,1,50
"293","-n3nJqzokUNN_dRFksTwNg",2,1,50
"294","-nSxPU99xYySUEzw3BZvZA",1,1,100
"295","-n_sXiPJstgxYi38NlFavg",1,1,100
"296","-ndcJc3Nfm-9zTqq1mK5vw",1,1,100
"297","-nir8iXzzE0CalU53kWO_A",1,1,100
"298","-nqEa3gRPlFRjsAO_OvpBg",1,1,100
"299","-oAkcrr_h05-eiBtuL1B_Q",2,1,50
"300","-oSREy_gW8UWWrvQ4JblfQ",1,1,100
"301","-oTNjNqwmhgXg22dVQRtHw",2,2,100
"302","-oWXDmUijR9FlZiwf0LzCQ",1,1,100
"303","-olQ_ScLLs57w-OxBL27ww",1,1,100
"304","-oz7ifboERbXxepFzVo3Rg",1,1,100
"305","-p33Dp8LRlukIT4iHl1fNg",4,3,75
"306","-p9jH-niWaQakMK4jGpkZg",1,1,100
"307","-pFFASpWeWSMSdYLpFsDnA",1,1,100
"308","-pHvSrTelM3xV_Ki4zZtoA",1,1,100
"309","-pMbod1jx3AVKQBwChPdpw",1,1,100
"310","-pQySFj5TZoMifJaXFq8aQ",1,1,100
"311","-pSRgp-bE8eHz5Gbv3rg-A",1,1,100
"312","-pWpCvR6wqbpOo3LzdcR7Q",1,1,100
"313","-pZDtN7_ul9hmmdgub7Duw",1,1,100
"314","-q-_Px6gT5EM3cJ1iwNFdg",1,1,100
"315","-q2kxhilHTyLLAKl8aYCNw",1,1,100
"316","-qSehFoa6hSolb5ychy_dQ",1,1,100
"317","-qcnaDbTX18DRaMQ1fTdjQ",1,1,100
"318","-qn7-Mn-jah61NQBbaN5Bw",1,1,100
"319","-qpvUvYhvhfL1WXlceVwdQ",1,1,100
"320","-qxSRxDZcdBlARHzqBVN5Q",1,1,100
"321","-r56307ghIMBWqgePClKlQ",1,1,100
"322","-rIa-vNgSrVRkBwePsZx-Q",1,1,100
"323","-rSmIdkFy0J1YwWkamtXVA",1,1,100
"324","-s-VAf6Id8fzq5-2MnB57w",1,1,100
"325","-s1X-CcQF8gYFzxZp-NEzw",1,1,100
"326","-s9B-BtR4MXmP1cI8ahxWw",1,1,100
"327","-sD9DbjgniLgs9VrPB2HMQ",1,1,100
"328","-sM8s0SLCX_PtHOpyJdzSA",1,1,100
"329","-sXwMoXrOqqKW7aOIWa2iA",1,1,100
"330","-sbw6H9kKV6uod1ut0Yu5Q",1,1,100
"331","-sc6pcPmez6F3cgXgJ6csw",2,2,100
"332","-snRyC7q9gLN90fgA9nkVQ",1,1,100
"333","-spaOzk3C848YniosiHROQ",6,6,100
"334","-t5tPf1gx9nM0l4LLDv0_g",1,1,100
"335","-tIvv_Uj0Rhg3hjZieSNRg",1,1,100
"336","-tQCr5so7XNwg6L-HuAc-w",1,1,100
"337","-tVzO4OZnLfHq_smDwTrOw",1,1,100
"338","-u7NNf9zd665V4QQiAH9Ow",1,1,100
"339","-uksfJmCK2htO4qqPK9svA",1,1,100
"340","-uncyAMGynNmHEnTD101IA",1,1,100
"341","-urBUsFJSdCYz7N3wFixRw",1,1,100
"342","-uuA-h4EQbK8qHrgApzW6g",1,1,100
"343","-uyBq1pEKIzSO885lVp37Q",1,1,100
"344","-vLFzteojhetoRScqDWiEA",2,1,50
"345","-vO8Yi6GdU3bcE0TCb8uBQ",3,1,33
"346","-vWaNnL_390rPJTzZjLN4A",5,5,100
"347","-voKEPAK1-vHT-c9PLwX_w",1,1,100
"348","-w77kKwa5kR98I_7OUuL8Q",1,1,100
"349","-waH4gZx6bIRZoAW6Ie-qQ",1,1,100
"350","-wlMhXEn6VpVpMQqBTKTDQ",1,1,100
"351","-xGiYm-rTI4N3D0MfbcnQw",1,1,100
"352","-xlhen-WziVjVpjARUf2EQ",10,5,50
"353","-xlluJgoEJMRtP6tiVEL9Q",8,7,87
"354","-y37d_h-hg52I1ioMhWXNA",1,1,100
"355","-z5COUl3n-4AUug8M4Uvlw",1,1,100
"356","-z6R470OYB9H2YXMEOAOEA",1,1,100
"357","-z7tjgKJsh8yjfKhPusYRw",2,2,100
"358","-zMRDEJ5vI3JAENBWESBwA",1,1,100
"359","-zS3y55WJfKSfEEdnsv2nA",2,1,50
"360","-zW8FvGMYQEqx0hBVfWvDA",1,1,100
"361","-z_aopBowMdhWDXhy9pDQg",1,1,100
"362","0-7668_2QUBYrsNVrCF29A",1,1,100
"363","0-XOhv6z-G_AVPkKPJm4Rg",1,1,100
"364","0-a88xkb5hLEZrT-KJKM2g",1,1,100
"365","0-bfef1VJAw5kXA0yBYLCQ",1,1,100
"366","0-nHREloH7m4r2SK9s6CHw",1,1,100
"367","0-oadVFxZuE32-LzBtjc1A",1,1,100
"368","005nEO_NP6YcaevJhC4Gnw",1,1,100
"369","00MA-xaZttn220Tevh8zhQ",1,1,100
"370","00MTvtfXmHHSPV2uH85RIA",1,1,100
"371","00h1iysnD2Dj73bEnSCmCQ",1,1,100
"372","00ik7j00D2HR03CRN8kHeQ",2,2,100
"373","00j7M7o1p32Nz2Yb655_tA",1,1,100
"374","00paZ27AClfBTOr44gTXfQ",1,1,100
"375","00s8uA83CWWT6XTSIuB6PA",1,1,100
"376","01JqNaoOkcwV7Dvu-TazqA",1,1,100
"377","01LpePY_SfwGcjVZo9u_TQ",2,2,100
"378","01PQXxFvCry6M8wnrPYqHA",3,3,100
"379","01S11c5-gjOI1G7mPEBHbQ",1,1,100
"380","01bGhF8F_5c0vs4FKGU5fw",3,3,100
"381","023Q3GfYKNxGl1kQoKtNhg",1,1,100
"382","024eF7zDQUuRtQQxPIGvkg",1,1,100
"383","025Dca706FDKVMgsKREYUQ",1,1,100
"384","02R-KrV6Ys2XxniD_p-sOA",2,2,100
"385","02UaJIH2bJjhz5N1g-rzUw",1,1,100
"386","02VCTMialkcZ8xfwpXXetg",1,1,100
"387","02cCJTmZH-34m9fTqYpXIw",1,1,100
"388","02qLuySsnFDdRwpM2CcKTA",1,1,100
"389","03687FKCz5sgY0D9jO5plg",1,1,100
"390","03HnQ_PfDuCE9zoHvJSK9g",1,1,100
"391","03k4W2uaxNNt3ZHpKw7DuA",1,1,100
"392","03x0-J3xSH2kgDczTXFYwQ",1,1,100
"393","043BYyoOVmBVx2gd9EIwaQ",2,2,100
"394","04FcaNxqtom_SAqu3rwwyw",1,1,100
"395","04U4voNNdQZACXfUqWh3rg",2,1,50
"396","04Ve4K9d0F3K_wsCYU9eAA",1,1,100
"397","04aAkipXruavhQxkkFkfSA",1,1,100
"398","04iJjUNANqhAFmEPKmwpog",1,1,100
"399","04lfze1IXig0Q9NM88iexw",1,1,100
"400","04sgtFHfmoWTJ67EPwtHdQ",1,1,100
"401","04w2Ai1rRnC7wRpc1KVWag",2,1,50
"402","059b7rIU8qPJh8Wkk_hmkQ",1,1,100
"403","05BnX6uRLhhTLv5pvzfdmQ",1,1,100
"404","05_W-b9aSKdGfRjNydv6CA",1,1,100
"405","05wL2a5qwj65xvr_gs_0lw",1,1,100
"406","05wd1ulB3LuJA5pf2IOTpg",1,1,100
"407","06D6p48MCH0tA3e6me0APg",1,1,100
"408","0758L3KSWma6ETCA7cDGHQ",1,1,100
"409","07MV5ULZMp6fMsIn5-_mxw",1,1,100
"410","07Ru7F5DF7iU5PfTuDJReg",1,1,100
"411","07X0HDn1NrkLez_N46-m7g",1,1,100
"412","07cleI5yCnHZFE_aF-hi-Q",1,1,100
"413","07gWx2pckS6CP4kRwVTWfQ",2,2,100
"414","07lFIurvt1Cjklzc3DbU1w",2,2,100
"415","07nZnuW-98mGXIjCKiB3cg",1,1,100
"416","07sfeaQWngMU6RdrdIj7Rg",1,1,100
"417","086t915xR7aPtVQv_CiAPg",1,1,100
"418","08LxSoH1PV3T9--NHAa86w",3,3,100
"419","08g6_4Ic9vlkFb_56WnbhA",1,1,100
"420","08urZFjTN-3Pnlke73_R0Q",1,1,100
"421","090uK8xvde0bn21icydYdw",1,1,100
"422","094rju54AzdxomOF-BT1_A",1,1,100
"423","095EWjAI2BpbsqNdhFKHfg",2,2,100
"424","09D-Ir0JhD072MY-LBx8Gw",4,1,25
"425","09LvfJlaD20sB-temND5sA",1,1,100
"426","09WzsCm8zS_YLVKGkYILyg",1,1,100
"427","09_z8agIxeb98dp0O_99_Q",1,1,100
"428","09k3TT_-TumSVglBkyVbyA",15,13,86
"429","09sV-8WggBIKY-giNyixWw",2,1,50
"430","09tC2xYywY44unDPtk5RnQ",1,1,100
"431","09zNUdhXuS6b5QR3GcQucg",1,1,100
"432","0A4rBKNMJrOaoOyv91o3Ww",1,1,100
"433","0A61iWuJtwNUFGvN9D1W3A",1,1,100
"434","0A7Idb3rhpQOfbNU-t1aHQ",1,1,100
"435","0AMeiB7b-SHe6Xb7rbRX8g",1,1,100
"436","0AQuORwZ0zW87W0jWPAknQ",1,1,100
"437","0ApLGp9AjmjEJ9o4H5tY4Q",1,1,100
"438","0B5qCpXfs6D8-0yw_RAx0A",1,1,100
"439","0Bevyc7Vfr-ceru1p5GGWQ",1,1,100
"440","0Bk3a0YY-bzRtY3hRwnjAQ",1,1,100
"441","0Brx391dVE9xEqPFxVNqrg",1,1,100
"442","0CHSg-ChMVaTuCiUcpTvzA",1,1,100
"443","0CMziK4SpIe1L9iNeyT-XA",1,1,100
"444","0CaoPgaGMoxRmx-L0g8_-Q",5,4,80
"445","0CcPnTPk1TBb2G_au8_27A",1,1,100
"446","0Ct7c9tsBpbS3O-qK16oWA",1,1,100
"447","0Cv2punOMt_GfOn3o6c6Xw",1,1,100
